"","id","sex1","cohort1","childeth","childrace","momeduc","dadeduc","income","foodstamp","houseassist","age1","age2","age3","age4","age5","age6","age7","age8","age9","age10","age11","edcon","y1ncT1","y1ncT2","y2ncT1","y2ncT2","y1dqdwfT1","y1dqdwfT2","y2dqdwfT1","y2dqdwfT2","age12","y1ef","RV_Scaled","BD_Scaled","In_Scaled","FSIQ","Percentile","PALS","y1temaraw","y1temaper","y1temascore","y2ef","y2temaraw","y2temaper","y2temascore","y1enumT1","y1enumT2","y1gnT1","y1gnT2","y1ptxT1","y1ptxT2","y1mbT1","y1mbT2","y1dqdaccT1","y1dqdaccT2","y1ocscoreT1","y1ocaccT1","y1ocscoreT2","y1ocaccT2","y1vcT1","y1vcT2","y1nvcT1","y1nvcT2","y1nrT1","y1nrT2","y1ck_allT1","y1ck_corT1","y1ck_rlT1","y1ck_peT1","y1ck_eT1","y1ck_allT2","y1ck_corT2","y1ck_rlT2","y1ck_peT2","y1ck_eT2","y1cqdT1","y1cqdT2","y2enumT1","y2enumT2","y2gnT1","y2gnT2","y2ptxT1","y2ptxT2","y2mbT1","y2mbT2","y2dqdaccT1","y2dqdaccT2","y2ocscoreT1","y2ocaccT1","y2ocscoreT2","y2ocaccT2","y2vcT1","y2vcT2","y2nvcT1","y2nvcT2","y2nrT1","y2nrT2","y2ck_allT1","y2ck_corT1","y2ck_rlT1","y2ck_peT1","y2ck_eT1","y2ck_allT2","y2ck_corT2","y2ck_rlT2","y2ck_peT2","y2ck_eT2","y2cqdT1","y2cqdT2"
"136",743,0,3,"2","6","3","3","1","1","0",41,"42","44","45","46","47","53","53","55","57","57",1,NA,NA,NA,NA,"0.77","1.32","0.3","0.21","60",15,12,12,9,105,63,0,3,12,82,18,10,16,85,2,10,0,1,1.54,1.83,50,50,70,66.67,2.49,0.564564889,2.33,0.528287627,2,2,0,16.66666667,1,1,41.66666667,33.33333333,33.33333333,33.33333333,66.66666667,25,0,33.33333333,0,66.66666667,54.16666667,62.5,12,12,3,6,1.4825,2.3525,50,37.5,90,96.67,1.97,44.67120181,3.58,81.17913832,9,12,25,8.333333333,0,1,58.33333333,66.66666667,66.66666667,33.33333333,66.66666667,50,66.66666667,100,0,33.33333333,62.5,83.33333333
"137",747,0,2,NA,NA,NA,NA,NA,NA,NA,42,"42","47","47","48","48","53","54","56","57","58",0,NA,NA,"33.33333333","83.33333333","6.97857",NA,"1.93","0.04","60",17,9,7,8,74,4,0,4,9,80,43,12,23,89,0,9,1,1,1.9825,2.3175,62.5,62.5,66.67,40,1.773,21.027,2.91,65.98639456,4,4,0,41.66666667,0,0,66.66666667,66.66666667,66.66666667,33.33333333,100,58.33333333,33.33333333,66.66666667,33.33333333,100,45.83333333,70.83333333,10,10,2,4,1.68,1.8825,87.5,37.5,60,96.67,2.33,52.82876269,3.05,69.15353056,15,9,33.33333333,16.66666667,2,3,62.5,0,100,100,50,83.33333333,100,66.66666667,100,66.66666667,83.33333333,75
"138",748,0,2,"2","5","4","4","3","0","0",48,"48","50","52","53","53",NA,NA,NA,NA,NA,2,"83.33333333","66.66666667",NA,NA,"0.57",NA,NA,NA,NA,45,17,11,12,123,94,25,17,82,114,55.586,25.281,89.238,113.101,12,12,6,6,1.99,2.575,87.5,87.5,80,67.794,0.5,11.33786848,4.41,100,12,12,25,16.66666667,13,12,66.66666667,100,66.66666667,100,0,58.33333333,100,66.66666667,66.66666667,0,83.33333333,87.5,9.614,15.772,3.597,4.68,2.595,2.653,75.208,70.617,55.128,54.109,2.856,66.656,3.064,69.485,14.212,26.699,37.715,16.348,2.985,4.419,66.641,65.134,58.377,55.103,86.964,54.488,71.483,55.035,45.148,43.363,58.815,64.442
"139",751,0,2,NA,NA,"2","2","2","1","0",44,"45","48","49","50","50","55","57","57","59","60",1,"33.33333333","50","100","66.66666667","0.27","0.03","0.36","0.03","62",38,7,15,9,100,50,25,15,81,113,44,12,23,89,12,15,2,6,1.995,2.5525,75,87.5,93.33,100,3.66,82.99319728,4.41,100,0,15,0,41.66666667,5,7,58.33333333,33.33333333,66.66666667,66.66666667,66.66666667,75,100,100,100,0,87.5,100,19,20,6,6,2.63,1.955,87.5,87.5,86.67,100,2.78,63.0317426,2.91,65.97927014,7,15,33.33333333,41.66666667,7,7,75,100,100,100,0,100,100,100,100,100,91.66666667,91.66666667
"140",764,1,1,"2","5","3","3","1","1","0",46,"47","48","49","50","51","57","59","61","63","63",1,"16.66666667","66.66666667","66.66666667","50",NA,NA,NA,"11.89","64",43,8,7,11,90,25,26,12,50,100,46,23,61,104,15,15,6,6,1.838,1.705,62.5,50,50,45.83,2.11,47.84580499,3.395,83.138,10,10,16.66666667,41.66666667,10,10,75,100,100,100,0,66.66666667,100,100,66.66666667,0,44.54,37.5,15,15,6,6,2.3875,2.58,100,37.5,50,53.33,2.08,47.16553288,2.72,61.67800454,15,14,58.33333333,16.66666667,10,14,66.66666667,66.66666667,66.66666667,33.33333333,100,58.33333333,100,33.33333333,66.66666667,33.33333333,57.14285714,67.85714286
"141",776,1,3,"2","3","3","2","1","1","0",41,"42","44","44","45","48","53","53","55","56","57",1,NA,NA,"50","16.66666667",NA,"0.93","2.49",NA,"59",15,10,7,5,82,12,6,3,7,78,31,18,63,105,0,5,2,1,1.085,1.67,50,37.5,40,66.67,3.08,0.698337292,3.74,0.847980998,3,6,16.66666667,12.5,1,2,50,33.33333333,33.33333333,33.33333333,100,75,100,100,33.33333333,66.66666667,54.16666667,50,10,14,6,6,1.8175,2.1525,62.5,50,53.33,50,2.8,63.49206349,2.25,51.02040816,1,30,0,25,7,8,25,33.33333333,0,0,66.66666667,25,0,0,0,100,70.83333333,66.66666667
"142",779,0,3,"2","5","3","3.5","1","0","0",49,"50","52","52","53","55","61","73","62","64","64",1,"66.66666667","33.33333333","50","83.33333333",NA,NA,"0.57","1.89","67",17,10,4,9,83,13,20,14,50,100,47,11,6,77,11,20,6,5,1.755,2.7225,50,50,69.041,50,2.33,0.528287627,1.3,0.294752753,11,11,8.333333333,25,8,8,16.66666667,0,33.33333333,0,33.33333333,33.33333333,33.33333333,33.33333333,66.66666667,0,83.33333333,54.16666667,20,20,6,6,1.705,2.04,50,37.5,80,60,3.11,70.52154195,2.13,48.29931973,29,20,25,16.66666667,13,13,50,66.66666667,66.66666667,0,66.66666667,41.66666667,66.66666667,33.33333333,0,66.66666667,62.5,50
"143",780,1,1,"2","5","4","4","1","0","0",44,"45","46","48","48","49","55","56","59","60","61",2,"0",NA,"50","100","0.52","1.03","0.72","0.36","58",25,13,9,8,100,50,3,5,13,83,36,14,42,97,13,14,1,2,1.42,1.8025,90.656,87.5,79.17,66.67,2.86,64.85260771,2.75,62.35154394,9,1,10.685,8.163,2,6.31,75,100,100,100,0,62.5,100,100,100,0,45.83333333,58.33333333,14,14,6,6,2.24,2.95,50,87.5,76.67,86.67,3.91,88.66213152,4.41,100,13,19,25,14.28571429,3,6,75,100,100,100,0,62.5,100,100,0,33.33333333,85.71428571,85.71428571
"144",784,0,2,NA,NA,NA,NA,NA,NA,NA,41,"42","46","47","47","48","53","53","55","56","58",0,"33.33333333","66.66666667","50","66.66666667","2.19","0.55","0.9","0.04","60",36,10,6,12,94,34,25,8,39,96,44,24,75,110,12,20,2,6,2.1375,2.325,62.5,62.5,60,80,1.55,35.14739229,2.94,66.66666667,6,27,58.33333333,8.333333333,6,8,75,100,100,100,0,75,100,100,100,0,62.5,66.66666667,20,20,6,6,2.02,2.8875,87.5,50,70,93.33,4.41,99.9892032,3.61,81.85057223,30,30,33.33333333,50,9,10,50,66.66666667,33.33333333,33.33333333,66.66666667,100,100,100,100,100,70.83333333,87.5
"145",793,0,1,"2","5","3","3","2","0","0",47,"48","50","51","52","53","59","60","63","64","65",1,"66.66666667","50","66.66666667","83.33333333","1.69","0.03","0.33","0.46","65",25,10,5,10,87,19,23,9,30,92,28,17,35,94,9,20,2,6,2.7,1.74,50,75,54.17,83.33,2.03,46.03174603,2.072,37.995,9,20,33.33333333,0,7,11,52.392,67.279,69.245,61.013,11.277,58.33333333,66.66666667,33.33333333,33.33333333,100,73.75,75,20,15,6,6,1.955,1.7325,37.5,100,90,83.33,2.33,52.83446712,2.08,47.16553288,36,29,8.333333333,16.66666667,8,12,25,33.33333333,33.33333333,0,33.33333333,83.33333333,100,100,100,33.33333333,85.71428571,82.14285714
